sku,old_external_product_id,new_external_product_id,classification,ecl_id,old_mapping_status
mk1990,mk1990,698933813,A_UPDATE_REPLACE_OLD_ID,f376c2ef-d369-4321-8344-bd65a96c06ff,active
mk1714,691300855,698933834,A_UPDATE_REPLACE_OLD_ID,f149fa4a-7c8e-4fa7-9a9a-f81f56498f64,active
mk1901,691300631,698933855,A_UPDATE_REPLACE_OLD_ID,2f503a0e-dc68-413d-801e-ec7493c8dfe8,active
mk1665,691300661,698933877,A_UPDATE_REPLACE_OLD_ID,78397442-7f59-496a-b2fc-bb6bb27f0e87,active
mk1404,mk1404,698933882,A_UPDATE_REPLACE_OLD_ID,1f85a7be-04c5-4e0d-ab31-01050884dbbc,active
mk1724,691300642,698933885,A_UPDATE_REPLACE_OLD_ID,d2c915dc-e1b2-4f2a-83ab-20488edecaf8,active
mk1400,691300900,698933890,A_UPDATE_REPLACE_OLD_ID,c74c7b9a-e565-4ace-82a2-73fd70173241,active
mk1863,mk1863,698933900,A_UPDATE_REPLACE_OLD_ID,349cf2f5-2780-4d66-8057-83e3fe6d5086,active
mk1911,691300887,698933903,A_UPDATE_REPLACE_OLD_ID,65ecc9eb-d171-4968-9082-f2f0e73c0a70,active
mk1296,691712280,698933913,A_UPDATE_REPLACE_OLD_ID,a584f966-1629-4b59-9899-813738807929,active
mk1679,691301125,698933915,A_UPDATE_REPLACE_OLD_ID,2fe17c8c-d710-4c16-9aed-2e8609aebd55,active
mk1727,691300641,698933921,A_UPDATE_REPLACE_OLD_ID,572ae971-ddd7-4c54-9e6c-48466c74d101,active
mk1409,691300902,698933922,A_UPDATE_REPLACE_OLD_ID,e941cae2-c1c8-4c88-92e4-3872cb193376,active
mk1922,691300621,698933931,A_UPDATE_REPLACE_OLD_ID,d44e85ff-17a1-484b-b3e3-5f8a7735d325,active
mk1052,mk1052,698933934,A_UPDATE_REPLACE_OLD_ID,80cc51b4-96b1-4735-853c-923cf00577ed,active
mk1357,691300890,698933937,A_UPDATE_REPLACE_OLD_ID,53ef1be5-0563-4956-a643-1ef8e2894bd5,active
mk2150,mk2150,698933955,A_UPDATE_REPLACE_OLD_ID,3fc2ef10-1d5e-433f-877f-534edbb6d5f8,active
mk2332,,698933964,C_INSERT_NO_EXISTING_ROW,,
mk1234,mk1234,698933977,A_UPDATE_REPLACE_OLD_ID,0c61f5db-9796-4fd2-b732-398800f452fc,active
mk1304,691569188,698933980,A_UPDATE_REPLACE_OLD_ID,50d978d9-3065-4033-bae7-61d3ce92cf62,active
mk1309,691569175,698933983,A_UPDATE_REPLACE_OLD_ID,6b046505-9804-4a40-8cc6-994669cf41af,active
mk1273,691914747,698934000,A_UPDATE_REPLACE_OLD_ID,466bc140-a490-41db-b718-cd5006ba80fa,active
mk1449,691300761,698934001,A_UPDATE_REPLACE_OLD_ID,3a7201c3-3447-4e96-b8a6-8c7651a5cbd5,active
mk1668,691300765,698934002,A_UPDATE_REPLACE_OLD_ID,c016449d-8831-42d3-b7e4-0b2793ce8a9c,active
mk2329,,698934003,C_INSERT_NO_EXISTING_ROW,,
mk1719,691300697,698934004,A_UPDATE_REPLACE_OLD_ID,26435815-cb75-4aad-9739-5480abee15d4,active
mk1376,691300729,698934025,A_UPDATE_REPLACE_OLD_ID,f573555f-c079-4826-8d63-fd57e6fe78eb,active
mk1816,691300694,698934029,A_UPDATE_REPLACE_OLD_ID,a325f84d-cdb2-43c2-9174-c5e020060ff8,active
mk1391,691300741,698934031,A_UPDATE_REPLACE_OLD_ID,aea6102c-5aa4-4113-8d3e-eafad48943b1,active
mk854,695343075,698934038,A_UPDATE_REPLACE_OLD_ID,9b22f6f0-7098-4d5c-ae0d-ba73530404a0,active
mk1146,mk1146,698934046,A_UPDATE_REPLACE_OLD_ID,3360cf0c-518e-402a-8deb-584c9473aff7,active
mk2059,mk2059,698934053,A_UPDATE_REPLACE_OLD_ID,b0437eb3-6585-426e-85d7-693b86fcd5d7,active
mk1375,691300728,698934061,A_UPDATE_REPLACE_OLD_ID,8224f0e1-2f1b-4db9-be7d-ece9b0a900a2,active
mk1837,691300690,698934062,A_UPDATE_REPLACE_OLD_ID,76ed9d8e-2850-4b59-b04b-552ecfa97e17,active
mk861,695343067,698934067,A_UPDATE_REPLACE_OLD_ID,6c8053bd-dfb6-4eae-9bc8-53ec8eed697f,active
mk1068,mk1068,698934074,A_UPDATE_REPLACE_OLD_ID,1f269896-2b2f-4aad-8889-0ab0d2c5723d,active
mk1333,691441895,698934078,A_UPDATE_REPLACE_OLD_ID,4e48d81f-f9d1-4736-a47e-fbc83b43fefb,active
